X,Y,Z
495.8204,123.6515,67.46311
495.7917,123.6468,67.47913
495.765,123.6425,67.49379
495.7354,123.6378,67.5098
495.709,123.6334,67.52386
495.6806,123.6286,67.53895
495.6531,123.6239,67.5535
495.6311,123.6196,67.56534
495.6043,123.6144,67.57977
495.5792,123.6094,67.59326
495.5553,123.6041,67.60636
495.5297,123.5982,67.62051
495.5074,123.5932,67.63278
495.4817,123.5878,67.64651
495.4555,123.5835,67.66118
495.4261,123.5788,67.67737
495.3976,123.5744,67.69278
495.3687,123.5699,67.70812
495.3412,123.5652,67.7229
495.3147,123.5603,67.73734
495.2866,123.5544,67.75272
495.2599,123.5491,67.76682
495.2351,123.5443,67.77957
495.2096,123.5394,67.7926
495.1853,123.5352,67.80446
495.1605,123.5311,67.81635
495.137,123.5272,67.82758
495.1127,123.523,67.83942
495.0866,123.5185,67.85278
495.0594,123.514,67.86733
495.0277,123.5086,67.884
495.002,123.5037,67.8977
494.9737,123.4977,67.91296
494.9465,123.4918,67.92741
494.9193,123.4863,67.94153
494.8944,123.4816,67.95423
494.8681,123.4765,67.96751
494.8424,123.4716,67.98044
494.817,123.4667,67.99312
494.792,123.4623,68.00533
494.7581,123.456,68.02205
494.7417,123.453,68.03011
494.7212,123.4491,68.0402
494.6951,123.4446,68.05353
494.6642,123.4397,68.06943
494.6373,123.4357,68.08285
494.6094,123.4316,68.09659
494.5835,123.4278,68.10928
494.5547,123.4231,68.12342
494.5284,123.4188,68.13628
494.5059,123.4151,68.14736
494.481,123.4105,68.15973
494.4552,123.4058,68.17244
494.4305,123.4013,68.18459
494.4071,123.3973,68.1958
494.3854,123.3939,68.20603
494.3614,123.3903,68.21723
494.3333,123.3858,68.23169
494.3048,123.3814,68.24622
494.2768,123.3772,68.26028
494.2478,123.3727,68.27469
494.2202,123.3681,68.2885
494.1937,123.3633,68.3018
494.1669,123.3589,68.31483
494.1423,123.3547,68.3269
494.116,123.3499,68.33995
494.0916,123.3458,68.35184
494.0651,123.3414,68.36451
494.0404,123.3371,68.37611
494.0161,123.3327,68.38725
493.994,123.3288,68.39712
493.9697,123.3251,68.40733
493.9465,123.3216,68.41714
493.925,123.3186,68.4264
493.8956,123.3153,68.43983
493.8639,123.3117,68.45422
493.8367,123.3084,68.46651
493.8093,123.3035,68.47951
493.7831,123.2987,68.49184
493.757,123.2937,68.5041
493.7292,123.2884,68.51676
493.7042,123.2837,68.52815
493.679,123.2793,68.53954
493.6521,123.2752,68.5513
493.6302,123.2718,68.56097
493.6051,123.2678,68.57228
493.582,123.2644,68.58251
493.556,123.2609,68.59434
493.5267,123.2575,68.60799
493.4977,123.2536,68.6214
493.4682,123.2497,68.63457
493.44,123.2466,68.64665
493.41,123.2431,68.65924
493.38,123.2395,68.67174
493.3577,123.2367,68.68095
493.3312,123.2328,68.69202
493.3041,123.2284,68.70345
493.2791,123.2239,68.71428
493.2536,123.2191,68.72527
493.2276,123.2143,68.73641
493.2003,123.2094,68.74785
493.1759,123.2053,68.75808
493.1479,123.2011,68.77025
493.1146,123.1965,68.78531
493.0863,123.1926,68.79784
493.054,123.1881,68.81203
493.024,123.184,68.82504
492.9916,123.1795,68.83895
492.9614,123.1761,68.85157
492.9337,123.1732,68.86304
492.9062,123.1703,68.87441
492.8794,123.1677,68.88528
492.8515,123.1649,68.89661
492.8252,123.1621,68.90732
492.7984,123.1592,68.91817
492.7751,123.1566,68.92752
492.7469,123.1536,68.9392
492.7159,123.1506,68.95271
492.6844,123.1474,68.9663
492.6539,123.1442,68.97928
492.6229,123.1409,68.9923
492.595,123.1378,69.00384
492.5652,123.1344,69.01602
492.5401,123.1315,69.02627
492.509,123.1286,69.03874
492.4846,123.1266,69.04836
492.4571,123.1243,69.05911
492.4336,123.1219,69.06841
492.4083,123.119,69.07851
492.3821,123.1159,69.08913
492.349,123.1122,69.10342
492.3194,123.1087,69.11606
492.2878,123.1051,69.1295
492.2578,123.102,69.14223
492.2306,123.0993,69.15377
492.2017,123.0964,69.16591
492.1724,123.0936,69.17825
492.1459,123.0911,69.18927
492.1191,123.0885,69.20036
492.0927,123.0861,69.21122
492.0668,123.0841,69.22165
492.0429,123.0823,69.23122
492.0188,123.0806,69.24078
491.9841,123.0786,69.25537
491.9553,123.077,69.26733
491.9252,123.0753,69.2796
491.8958,123.0736,69.29139
491.8652,123.0718,69.30373
491.8344,123.0699,69.31615
491.8087,123.0684,69.32652
491.781,123.0673,69.33745
491.7548,123.0667,69.34775
491.7269,123.066,69.35876
491.7025,123.0654,69.36839
491.676,123.0649,69.37899
491.6424,123.0643,69.39302
491.6136,123.0638,69.40505
491.5831,123.0635,69.41771
491.5537,123.0635,69.4297
491.5221,123.0635,69.44245
491.4977,123.0632,69.45239
491.4679,123.0623,69.46468
491.4438,123.0612,69.47485
491.4167,123.0596,69.4864
491.3932,123.0577,69.49673
491.3687,123.0557,69.50748
491.3415,123.0535,69.5197
491.3112,123.0513,69.53367
491.2789,123.0506,69.54764
491.2496,123.0501,69.56029
491.2207,123.0497,69.5726
491.1935,123.0495,69.58416
491.1649,123.0494,69.59625
491.1375,123.0493,69.60785
491.1117,123.0484,69.61898
491.0855,123.0481,69.63014
491.0607,123.048,69.64065
491.036,123.048,69.65106
491.0054,123.0483,69.66432
490.9763,123.0488,69.67698
490.9444,123.05,69.6905
490.9171,123.0511,69.70206
490.8884,123.052,69.71426
490.8613,123.0522,69.72602
490.8338,123.0533,69.73772
490.8069,123.0543,69.74907
490.7815,123.055,69.7599
490.7578,123.0556,69.77
490.731,123.0561,69.78169
490.6992,123.0565,69.7958
490.6675,123.0568,69.80991
490.6401,123.0576,69.82188
490.6116,123.0591,69.83408
490.5818,123.061,69.8467
490.5558,123.0635,69.85731
490.5273,123.0667,69.86864
490.5027,123.0686,69.87853
490.4765,123.0701,69.88914
490.4525,123.0712,69.89907
490.4216,123.0722,69.91241
490.3915,123.0727,69.92572
490.3602,123.0731,69.9398
490.3325,123.0744,69.95217
490.3032,123.0762,69.96507
490.2761,123.0782,69.97692
490.2502,123.08,69.98824
490.2237,123.0819,69.99979
490.2002,123.0837,70.0101
490.1749,123.0855,70.02117
490.1462,123.0873,70.03411
490.118,123.0892,70.04691
490.0895,123.0912,70.05997
490.0598,123.0939,70.07349
490.0319,123.0963,70.08615
490.0065,123.0981,70.09767
489.981,123.0997,70.10918
489.9549,123.1013,70.12094
489.9307,123.1028,70.13179
489.9063,123.1046,70.14279
489.8813,123.1065,70.15418
489.8507,123.1088,70.16841
489.8219,123.1114,70.18193
489.7943,123.1141,70.19504
489.7657,123.1168,70.20884
489.7411,123.1195,70.22073
489.7165,123.122,70.23277
489.692,123.1242,70.24484
489.6685,123.127,70.25617
489.6398,123.1306,70.26985
489.6097,123.1343,70.28413
489.5829,123.138,70.29668
489.5544,123.1419,70.31012
489.5259,123.1458,70.32368
489.5004,123.1483,70.33595
489.4748,123.1507,70.34814
489.448,123.1531,70.36102
489.4243,123.1552,70.37277
489.4001,123.1574,70.38499
489.3781,123.1593,70.39616
489.3462,123.1624,70.4121
489.3184,123.1652,70.42583
489.2909,123.168,70.43935
489.2637,123.1709,70.45256
489.2368,123.1738,70.46599
489.2112,123.1767,70.47891
489.1866,123.1805,70.49129
489.1625,123.1846,70.50299
489.1385,123.1888,70.51466
489.1074,123.1934,70.52987
489.0788,123.1979,70.54368
489.0488,123.2024,70.55812
489.0234,123.2057,70.57027
488.9959,123.2092,70.58417
488.9709,123.2123,70.59705
488.9464,123.2153,70.61004
488.9232,123.2193,70.62238
488.8991,123.2233,70.63531
488.8677,123.2282,70.65231
488.8423,123.2329,70.66606
488.8138,123.2383,70.68155
488.7894,123.243,70.69503
488.7622,123.2485,70.71033
488.7394,123.2531,70.7234
488.7168,123.2578,70.7365
488.6943,123.2626,70.75
488.6671,123.268,70.76628
488.64,123.2733,70.7825
488.6142,123.2785,70.79813
488.5856,123.2836,70.81592
488.563,123.2874,70.83025
488.5371,123.2918,70.84693
488.5148,123.296,70.86188
488.4904,123.3003,70.87814
488.4626,123.3048,70.89674
488.4329,123.3105,70.91671
488.4088,123.3152,70.93312
488.3844,123.3201,70.94988
488.3507,123.3279,70.97338
488.3284,123.3327,70.98927
488.3065,123.3377,71.00496
488.2825,123.3429,71.02207
488.2553,123.3481,71.04131
488.23,123.3528,71.0598
488.2031,123.3582,71.07983
488.1809,123.3632,71.09682
488.155,123.3686,71.11737
488.1341,123.373,71.13449
488.1126,123.3773,71.15246
488.0916,123.3814,71.17051
488.063,123.3865,71.19437
488.0372,123.391,71.21632
488.011,123.3958,71.23866
487.9884,123.4003,71.25801
487.9651,123.4052,71.27772
487.9423,123.4107,71.29716
487.9174,123.4169,71.31796
487.887,123.4244,71.34295
487.8606,123.4314,71.36462
487.8341,123.4388,71.38663
